Common name,Species,Full taxonomy,Description
pallas's cat,otocolobus manul,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Feliformia_Felidae_Otocolobus_Otocolobus manul,"Pallas’s cat is similar in size to a domestic cat but it looks much bigger because of its stocky build and its long, thick coat, which helps protect it in its frosty habitat. Its shaggy coat is especially thick on its belly to protect it from the snow while stalking prey. Their fur changes color depending on the season, in winter being a frosted gray and in spring a gray/fox-red. The pupils of its large eyes, unlike those of other small cats, contract to small circles instead of slits."
etruscan shrew,suncus etruscus,Animalia_Chordata_Vertebrata_Mammalia_Eulipotyphla_Soricidae_Suncus_Suncus etruscus,"The Etruscan shrew is the smallest known mammal by mass. It weighs only around 1.8 grams (0.063 oz) on average. The Etruscan shrew is characterized by very rapid movements and a fast metabolism, eating about 1.5-2 times its own body weight per day. The head of these small animals is relatively large, with a long, mobile proboscis, and the hind limbs are relatively small. The ears are relatively large and protuberant. The fur color on the back and sides are pale brown but is light gray on the stomach. The fur becomes denser and thicker from fall through the winter. Near the mouth grow a dense array of short whiskers, which shrews actively use to search for prey, especially in the night."
antarctic minke whale,balaenoptera bonaerensis,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Cetacea_Balaenopteridae_Balaenoptera_Balaenoptera bonaerensis,"Antarctic minke whales are among the smallest and most common of the rorqual whales, the largest number of baleen whales. These whales are noticeably more streamlined than other types of whales, being long and slender. An Antarctic minke whale has a pointed snout which is distinctively narrow, triangular, and pointed (thus the nicknames ""little piked whale"" and ""sharp-headed finner"") and a pair of blowholes; the upper part of its head is flat and broad). The upperparts of the whale are dark gray, while its underbelly is white, the flippers are pale and there are pale streaks on its sides."
oriental small-clawed otter,aonyx cinerea,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mustelidae_Lutrinae_Amblonyx_Aonyx cinerea,"Oriental small-clawed otters are the smallest of the otter species. Their name comes from their very small claws. This species relies on their dexterous and sensitive fingers to forage for prey, and so lack the long claws most otters have. Due to this, there is also less webbing between the digits than other otters have. These small animals, of no more than several pounds in weight and no longer than a common rat, have gray/brown fur (with a lighter coloration on their underside, neck and face). Their slender, almost serpentine build is complemented by a large tail. They have stubby legs and blunt faces."
brush-tailed phascogale,phascogale tapoatafa,Animalia_Chordata_Vertebrata_Mammalia_Marsupialia_Dasyuromorphia_Dasyuridae_Phascogale_Phascogale tapoatafa,"The magnificent Brush-tailed phascogale has an unusual ‘bottle brush’ tail, which is covered with long, silky, black colored hairs that can be erected on occasion. The head and body of this marsupial are grizzled grey, while the under parts are pale cream. Females of this species have a 'fake' pouch: they simply have a pouch area, exhibiting noticeably coarser, brown colored hairs with light tips. Males of this species show die-off shortly after mating, without even reaching 1 year old. Life expectancy of females is up to 3 years."
hoatzin,opisthocomus hoazin,Animalia_Chordata_Aves_Opisthocomiformes_Opisthocomidae_Opisthocomus_Opisthocomus hoazin,"The Hoatzin is a tropical bird native to South America. It is notable for having chicks that have claws on two of their wing digits. The hoatzin has an unfeathered blue face with maroon eyes, and its head is topped by a spiky, rufous crest. The long, sooty-brown tail is broadly tipped buff. The upperparts are dark, sooty-brown-edged buff on the wing coverts, and streaked buff on the mantle and nape. The under parts are buff, while the crissum (the undertail coverts surrounding the cloaca), primaries, underwing coverts, and flanks are rich rufous-chestnut, but this is mainly visible when it opens its wings."
common musk turtle,sternotherus odoratus,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Kinosternidae_Sternotherus_Sternotherus odoratus,"The Common musk turtle is a small turtle native to North America. It is black, grey, or brown in color and has a long neck and rather short legs. The yellow lines on the neck are a good field marker, and often can be seen from above in swimming turtles. Males can usually be distinguished from females by their significantly longer tails and by the spike that protrudes at the end of the tail. Females are also typically larger than males. The head of these turtles is vaguely triangular in shape, with a pointed snout and sharp beak, and yellow-green striping from the tip of the nose to the neck. Barbels are present on the chin and the throat. Their tiny tongues are covered in bud-like papillae that allow them to respire underwater."
southern american bushmaster,lachesis muta,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Viperidae_Lachesis_Lachesis muta,"Southern American bushmasters are venomous pit vipers found in South America. They are the third longest venomous snakes in the world. Their head is broad and distinct from the narrow neck. The snout is broadly rounded. The color pattern consists of a yellowish, reddish or grey-brown ground color, overlaid with a series of dark brown or black dorsal blotches; these blotches form lateral inverted triangles of the same color. The lateral pattern may be precisely or indistinctly defined, normally pale at the center."
perentie,varanus giganteus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Varanidae_Varanus_Varanus giganteus,"The Perentie is the largest monitor lizard native to Australia, and the fourth-largest living lizard on earth. It has a very strong tail and powerful legs with 5 clawed toes. The color pattern is brown with large cream or yellow rosettes."
harbor seal,phoca vitulina,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Pinnipedia_Phocidae_Phoca_Phoca vitulina,"The Harbor seal is relatively small in comparison with the many other seal species. Its color can vary from light gray, white or yellowish gray with darker spots, to gray, black or brown with spots or light rings. Its fur is short and thick, with coarse guard hair and dense, fine underhair. They have a gland in their skin which secretes oil to waterproof their fur. A Harbor seal has a round head and a short snout with a V-shaped nose, which it closes when under water. Its eyes are big, round and dark, it has ear openings, and long, droopy whiskers used for finding food underwater. Its front and hind flippers are short and webbed, and have five digits, with the first and fifth digits being longer than the middle ones. When its hind flippers are laid flat, they look like fans, and between them, it has a short, flattened tail."
