Common name,Species,Full taxonomy,Description
hoatzin,opisthocomus hoazin,Animalia_Chordata_Aves_Opisthocomiformes_Opisthocomidae_Opisthocomus_Opisthocomus hoazin,"The Hoatzin is a tropical bird native to South America. It is notable for having chicks that have claws on two of their wing digits. The hoatzin has an unfeathered blue face with maroon eyes, and its head is topped by a spiky, rufous crest. The long, sooty-brown tail is broadly tipped buff. The upperparts are dark, sooty-brown-edged buff on the wing coverts, and streaked buff on the mantle and nape. The under parts are buff, while the crissum (the undertail coverts surrounding the cloaca), primaries, underwing coverts, and flanks are rich rufous-chestnut, but this is mainly visible when it opens its wings."
common musk turtle,sternotherus odoratus,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Kinosternidae_Sternotherus_Sternotherus odoratus,"The Common musk turtle is a small turtle native to North America. It is black, grey, or brown in color and has a long neck and rather short legs. The yellow lines on the neck are a good field marker, and often can be seen from above in swimming turtles. Males can usually be distinguished from females by their significantly longer tails and by the spike that protrudes at the end of the tail. Females are also typically larger than males. The head of these turtles is vaguely triangular in shape, with a pointed snout and sharp beak, and yellow-green striping from the tip of the nose to the neck. Barbels are present on the chin and the throat. Their tiny tongues are covered in bud-like papillae that allow them to respire underwater."
harbor seal,phoca vitulina,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Pinnipedia_Phocidae_Phoca_Phoca vitulina,"The Harbor seal is relatively small in comparison with the many other seal species. Its color can vary from light gray, white or yellowish gray with darker spots, to gray, black or brown with spots or light rings. Its fur is short and thick, with coarse guard hair and dense, fine underhair. They have a gland in their skin which secretes oil to waterproof their fur. A Harbor seal has a round head and a short snout with a V-shaped nose, which it closes when under water. Its eyes are big, round and dark, it has ear openings, and long, droopy whiskers used for finding food underwater. Its front and hind flippers are short and webbed, and have five digits, with the first and fifth digits being longer than the middle ones. When its hind flippers are laid flat, they look like fans, and between them, it has a short, flattened tail."
blue monkey,cercopithecus mitis,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Cercopithecinae_Cercopithecini_Cercopithecus_Cercopithecus mitis,"Despite what the common name suggests, the Blue monkey is not blue. In fact, the species is so called due to the hairless face, which seems to be colored in blue. This Old world monkey is of great interest for scientists. The primate has a dark head top. The coloration of the body is mainly olive or grey. Additionally, the Blue monkey exhibits some black and white markings all over its body."
carpet python,morelia spilota,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Pythonidae_Morelia_Morelia spilota,"The Carpet python is a large snake named for beautiful markings on its skin, which resemble an oriental carpet pattern. Their coloring is highly variable, ranging from olive to black with white or cream and gold markings. The patterning may be roughly diamond-shaped or have intricate markings made up of light and dark bands on a background of gray or a version of brown. Males in this species are typically smaller than females and in some regions, females can even be up to four times heavier."
greek tortoise,testudo graeca,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Testudinoidea_Testudinidae_Testudo_Testudo graeca,"The Greek tortoise is one of the five species of tortoise from the Mediterranean. It can be a range of colors, including black, dark yellow, gold, and brown. This tortoise is named for the patterns on its shell, which have the different colored dots and the borders of a traditional Greek mosaic. A Greek tortoise has a domed carapace, a flat head with large eyes, big scales on its legs, and strong claws."
savannah sparrow,passerculus sandwichensis,Animalia_Chordata_Aves_Passeriformes_Passerellidae_Passerculus_Passerculus sandwichensis,"The Savannah sparrow is a small American sparrow. It has a typically sparrow-like dark-streaked brown back, and whitish underparts with brown or blackish breast and flank streaking. It has whitish crown and supercilium stripes, sometimes with some yellow (more often near the beak). The cheeks are brown and the throat white. The flight feathers are blackish-brown with a light brown or white border. The eyes are dark. The feet and legs are horn-colored, as is the lower part of the bill, with the upper part being dark grey."
snowy egret,egretta thula,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Ardeidae_Egretta_Egretta thula,"The Snowy egret is a small but elegant white heron. Adults are entirely white in color apart from the yellow lores between the long black bill and the eye, black legs, and bright yellow feet. The nape and neck bear long, shaggy plumes known as aigrettes. Immature Snowy egrets have duller, greenish legs."
gray jay,perisoreus canadensis,Animalia_Chordata_Aves_Passeriformes_Corvidae_Perisoreus_Perisoreus canadensis,"The Gray jay is a fairly large songbird that lives in the boreal forests of North America. It has pale grey underparts, darker grey upperparts, and a grey-white head with a darker grey nape. These birds live year-round on permanent territories, surviving in cold winter months on food cached throughout their territory in warmer periods. They also adapt to human activity in their areas and approach humans for food, inspiring a list of colloquial names including ""lumberjack"", ""camp robber"", and ""venison-hawk""."
african penguin,spheniscus demersus,Animalia_Chordata_Aves_Sphenisciformes_Spheniscidae_Spheniscus_Spheniscus demersus,"The African penguin is a small to medium-sized penguin with black-and-white plumage, serving the animal as a perfect camouflage to protect from predators. Due to the black feathers on their back, they merge with the environment, remaining unseen for those looking down from above. Meanwhile, the white coloration on the front part of their body allows them to be unspotted by aquatic predators, looking up from below. The penguins have a horseshoe-shaped, white colored stripe on their face, stretching from around their eyes to their chest as well on the chin, towards the bill. Young penguins possess gray-blue feathers, which darken as they grow up."
song sparrow,melospiza melodia,Animalia_Chordata_Aves_Passeriformes_Passerellidae_Melospiza_Melospiza melodia,"The Song sparrow is one of the most abundant, variable, and adaptable native sparrows in North America. Adult birds have brown upperparts with dark streaks on the back and are white underneath with dark streaking and a dark brown spot in the middle of the breast. They have a brown cap and a long brown rounded tail. Their face is gray with a brown streak through each eye."
pond slider,trachemys scripta,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Emydidae_Trachemys_Trachemys scripta,"The Pond slider is a medium-sized, semiaquatic turtle found in North America. Hatchlings and juveniles have a greenish upper shell (carapace), yellow bottom shell (plastron), and green and yellow stripes and markings on their skin. These patterns and colors in the skin and shell fade with age until the carapace is a muted olive green to orange-brown or brown and the plastron is a dull yellow or darker. Some sliders become almost black with few visible markings. The carapace is oval with a bit of rounding and a central crest with knobs, but these features soften and fade with age, adults being smoother and flatter. Males typically have much longer front claws than adult females, while females usually have shorter, more slender tails than males."
canadian lynx,lynx canadensis,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Feliformia_Felidae_Lynx_Lynx canadensis,"The Canadian lynx is a cat of medium size with characteristic long ear tufts, a flared facial ruff, and a short, bobbed tail that has a completely black tip. Its paws are unusually large and in very deep snow act like snowshoes. Lynxes have thick fur and long legs, the hind legs being longer than the front legs, giving it a stooped appearance. Males are slightly bigger than females and there is not much geographic variation in size."
